County,Year,Total,Felony Total,Drug Felony,Violent Felony,DWI Felony,Other Felony,Misdemeanor Total,Drug Misdemeanor,DWI Misdemeanor,Property Misdemeanor,Other Misdemeanor
Albany,2015,7412,2590,509,533,161,1387,4822,692,1173,1531,1426
Allegany,2015,792,209,33,39,38,99,583,43,136,161,243
Bronx,2015,59576,16121,4333,5623,156,6009,43455,10988,921,14389,17157
Broome,2015,4968,1532,216,389,91,836,3436,566,336,1431,1103
Cattaraugus,2015,1516,439,103,86,47,203,1077,78,274,313,412
Cayuga,2015,1327,431,68,57,27,279,896,85,193,308,310
Chautauqua,2015,3262,889,180,189,90,430,2373,247,503,739,884
Chemung,2015,1903,482,94,80,55,253,1421,208,217,528,468
Chenango,2015,778,245,51,34,18,142,533,58,105,179,191
Clinton,2015,1942,516,113,85,53,265,1426,129,345,530,422
Columbia,2015,1082,264,43,45,38,138,818,137,153,232,296
Cortland,2015,1335,372,61,67,31,213,963,113,149,336,365
Delaware,2015,892,221,32,39,28,122,671,64,144,193,270
Dutchess,2015,4683,1411,182,287,160,782,3272,450,913,938,971
Erie,2015,21815,6367,869,1840,364,3294,15448,3386,1974,4693,5395
Essex,2015,615,182,36,26,19,101,433,46,133,80,174
Franklin,2015,1121,323,56,47,40,180,798,48,193,238,319
Fulton,2015,1185,376,42,66,41,227,809,60,186,259,304
Genesee,2015,1395,401,45,73,41,242,994,114,209,315,356
Greene,2015,1275,350,76,47,44,183,925,142,313,205,265
Hamilton,2015,63,13,2,1,2,8,50,3,19,11,17
Herkimer,2015,1179,303,39,46,43,175,876,76,190,286,324
Jefferson,2015,2465,616,110,100,45,361,1849,117,342,772,618
Kings,2015,68195,23876,3936,7266,236,12438,44319,10520,1556,16314,15929
Lewis,2015,316,100,24,22,14,40,216,17,51,56,92
Livingston,2015,1290,407,60,65,52,230,883,158,225,197,303
Madison,2015,1163,312,45,47,37,183,851,79,171,266,335
Monroe,2015,14503,4356,529,1064,428,2335,10147,769,1893,4111,3374
Montgomery,2015,1126,321,56,60,28,177,805,70,124,307,304
Nassau,2015,15827,4944,811,1176,291,2666,10883,2794,2095,2899,3095
New York,2015,67721,17493,3924,3838,103,9628,50228,11103,1528,24088,13509
Niagara,2015,4815,1417,220,372,107,718,3398,352,607,1111,1328
Oneida,2015,5173,1217,264,240,85,628,3956,463,509,1614,1370
Onondaga,2015,10331,3436,557,832,172,1875,6895,1149,956,2697,2093
Ontario,2015,1875,581,74,101,81,325,1294,108,359,400,427
Orange,2015,8602,2343,502,481,234,1126,6259,1319,1112,1926,1902
Orleans,2015,704,241,40,39,20,142,463,45,99,140,179
Oswego,2015,2722,821,157,187,55,422,1901,195,371,685,650
Otsego,2015,1158,320,55,53,37,175,838,89,205,277,267
Putnam,2015,1143,272,66,48,42,116,871,177,341,116,237
Queens,2015,50816,17918,2211,5120,268,10319,32898,5795,1952,10705,14446
Rensselaer,2015,3300,1057,147,214,68,628,2243,248,452,703,840
Richmond,2015,9167,3175,709,924,76,1466,5992,1508,546,1614,2324
Rockland,2015,3737,1150,150,260,99,641,2587,371,707,668,841
St. Lawrence,2015,2215,646,160,103,43,340,1569,196,325,453,595
Saratoga,2015,3723,927,125,143,119,540,2796,303,713,872,908
Schenectady,2015,4109,1325,293,272,50,710,2784,284,273,1067,1160
Schoharie,2015,529,120,8,14,15,83,409,18,126,137,128
Schuyler,2015,322,98,21,11,16,50,224,18,55,70,81
Seneca,2015,710,223,29,31,40,123,487,40,122,161,164
Steuben,2015,2126,641,119,97,75,350,1485,181,312,463,529
Suffolk,2015,21689,5135,775,983,564,2813,16554,4308,3186,4388,4672
Sullivan,2015,1866,506,81,102,43,280,1360,264,292,376,428
Tioga,2015,645,183,35,29,25,94,462,70,103,82,207
Tompkins,2015,1588,374,60,64,46,204,1214,107,260,492,355
Ulster,2015,4220,1031,190,166,132,543,3189,494,772,870,1053
Warren,2015,1662,465,69,69,55,272,1197,122,258,387,430
Washington,2015,1203,334,55,52,40,187,869,127,212,167,363
Wayne,2015,1492,469,68,82,67,252,1023,82,230,296,415
Westchester,2015,13195,3986,752,987,220,2027,9209,1783,1464,2440,3522
Wyoming,2015,660,220,42,37,27,114,440,44,113,81,202
Yates,2015,349,96,19,7,19,51,253,21,62,64,106
Albany,2016,7680,2830,622,521,161,1526,4850,720,1076,1622,1432
Allegany,2016,930,296,44,50,36,166,634,48,190,130,266
Bronx,2016,56288,17087,4472,5914,132,6569,39201,9119,1071,12482,16529
Broome,2016,5210,1607,240,381,84,902,3603,775,344,1261,1223
Cattaraugus,2016,1507,436,109,73,64,190,1071,74,293,351,353
Cayuga,2016,1292,405,50,91,38,226,887,74,173,284,356
Chautauqua,2016,3273,907,197,154,83,473,2366,328,511,687,840
Chemung,2016,1987,453,87,99,51,216,1534,230,233,651,420
Chenango,2016,805,235,41,55,12,127,570,55,97,220,198
Clinton,2016,1891,503,108,72,47,276,1388,173,381,420,414
Columbia,2016,1048,273,32,59,38,144,775,153,155,199,268
Cortland,2016,1300,411,96,74,38,203,889,118,131,334,306
Delaware,2016,942,335,94,50,20,171,607,85,144,120,258
Dutchess,2016,4887,1477,232,237,181,827,3410,552,948,929,981
Erie,2016,21336,6452,1001,1849,309,3293,14884,3114,1960,4761,5049
Essex,2016,693,204,40,29,22,113,489,60,148,87,194
Franklin,2016,1168,356,99,49,31,177,812,80,167,242,323
Fulton,2016,1050,344,53,65,31,195,706,53,155,223,275
Genesee,2016,1250,423,58,63,33,269,827,97,189,263,278
Greene,2016,1236,321,63,49,38,171,915,162,276,176,301
Hamilton,2016,64,12,1,3,0,8,52,8,24,6,14
Herkimer,2016,1055,231,15,28,37,151,824,59,156,311,298
Jefferson,2016,2398,612,129,102,54,327,1786,144,374,589,679
Kings,2016,66973,25031,3548,7702,305,13476,41942,9669,1528,15410,15335
Lewis,2016,392,131,34,13,23,61,261,28,79,62,92
Livingston,2016,1289,386,72,41,54,219,903,182,215,197,309
Madison,2016,1156,308,44,45,26,193,848,104,146,264,334
Monroe,2016,14112,4393,554,1071,423,2345,9719,855,1872,3755,3237
Montgomery,2016,1161,314,59,52,32,171,847,97,153,283,314
Nassau,2016,16993,5326,1115,1112,289,2810,11667,3782,2009,2677,3199
New York,2016,68475,18648,3911,4106,112,10519,49827,11861,1419,22700,13847
Niagara,2016,5030,1443,198,378,95,772,3587,487,603,1196,1301
Oneida,2016,5197,1246,308,262,57,619,3951,532,557,1460,1402
Onondaga,2016,10477,3493,569,824,205,1895,6984,1220,1132,2585,2047
Ontario,2016,1832,566,65,87,77,337,1266,103,312,450,401
Orange,2016,8785,2286,508,457,178,1143,6499,1534,1096,1911,1958
Orleans,2016,801,250,51,31,23,145,551,45,118,181,207
Oswego,2016,2654,757,119,159,57,422,1897,209,365,703,620
Otsego,2016,1104,333,66,50,37,180,771,100,184,227,260
Putnam,2016,1370,308,82,43,41,142,1062,224,445,136,257
Queens,2016,47697,17432,1877,4846,327,10382,30265,5273,1834,9358,13800
Rensselaer,2016,3290,1046,160,224,58,604,2244,326,444,652,822
Richmond,2016,10007,3507,725,859,71,1852,6500,1792,642,1711,2355
Rockland,2016,3431,1023,111,245,79,588,2408,338,596,666,808
St. Lawrence,2016,2254,617,87,140,56,334,1637,222,298,569,548
Saratoga,2016,3639,958,175,170,127,486,2681,387,822,693,779
Schenectady,2016,3989,1299,295,296,54,654,2690,248,259,1014,1169
Schoharie,2016,549,143,8,36,21,78,406,29,92,108,177
Schuyler,2016,329,116,36,12,13,55,213,19,64,70,60
Seneca,2016,778,273,58,36,41,138,505,55,122,146,182
Steuben,2016,1942,642,125,104,83,330,1300,137,301,350,512
Suffolk,2016,19972,4841,786,927,488,2640,15131,3821,3082,4069,4159
Sullivan,2016,1768,498,74,111,61,252,1270,253,251,346,420
Tioga,2016,679,193,21,51,27,94,486,63,120,107,196
Tompkins,2016,1479,372,67,84,41,180,1107,137,259,384,327
Ulster,2016,4111,1075,211,193,112,559,3036,565,708,707,1056
Warren,2016,1719,442,82,72,40,248,1277,136,244,542,355
Washington,2016,1165,275,54,58,22,141,890,127,201,153,409
Wayne,2016,1471,396,43,60,50,243,1075,94,238,334,409
Westchester,2016,13033,4092,773,996,225,2098,8941,1613,1725,2326,3277
Wyoming,2016,636,253,60,52,19,122,383,42,90,81,170
Yates,2016,324,101,36,13,11,41,223,19,56,48,100
Albany,2017,7563,2712,631,511,174,1396,4851,895,980,1556,1420
Allegany,2017,771,208,42,38,29,99,563,57,153,131,222
Bronx,2017,51310,16248,3794,5739,136,6579,35062,8238,980,10062,15782
Broome,2017,5342,1403,262,314,66,761,3939,967,374,1344,1254
Cattaraugus,2017,1614,487,113,63,60,251,1127,123,315,287,402
Cayuga,2017,1188,384,53,52,37,242,804,56,167,258,323
Chautauqua,2017,3424,1023,256,201,72,494,2401,439,482,657,823
Chemung,2017,1879,490,102,96,53,239,1389,252,214,520,403
Chenango,2017,754,236,63,44,14,115,518,57,82,180,199
Clinton,2017,1864,632,103,101,66,362,1232,132,314,382,404
Columbia,2017,1175,294,74,47,28,145,881,215,191,187,288
Cortland,2017,1311,371,87,42,34,208,940,167,134,365,274
Delaware,2017,892,262,68,37,31,126,630,101,105,155,269
Dutchess,2017,5055,1479,258,248,133,840,3576,686,1002,879,1009
Erie,2017,19876,6208,1015,1646,317,3230,13668,3015,1920,4135,4598
Essex,2017,664,192,37,30,23,102,472,65,122,123,162
Franklin,2017,1199,398,96,62,31,209,801,100,156,218,327
Fulton,2017,1058,382,49,51,29,253,676,79,142,195,260
Genesee,2017,1181,402,62,84,38,218,779,103,210,232,234
Greene,2017,1368,362,91,50,43,178,1006,208,325,207,266
Hamilton,2017,49,19,1,7,5,6,30,7,10,1,12
Herkimer,2017,1081,284,23,63,35,163,797,74,151,241,331
Jefferson,2017,2265,653,128,89,70,366,1612,148,319,562,583
Kings,2017,62471,23710,3745,7112,290,12563,38761,10197,1456,12861,14247
Lewis,2017,335,130,53,16,12,49,205,21,57,47,80
Livingston,2017,1240,340,51,38,56,195,900,169,205,209,317
Madison,2017,1100,270,36,48,17,169,830,98,127,280,325
Monroe,2017,14363,4603,619,1060,411,2513,9760,886,1734,3729,3411
Montgomery,2017,1134,340,64,50,28,198,794,112,120,255,307
Nassau,2017,16973,5237,1081,1148,277,2731,11736,4536,1880,2290,3030
New York,2017,61314,17028,3156,3987,99,9786,44286,10435,1345,19992,12514
Niagara,2017,4920,1481,238,346,79,818,3439,470,605,1060,1304
Oneida,2017,5285,1382,325,282,57,718,3903,623,502,1363,1415
Onondaga,2017,10279,3342,499,816,188,1839,6937,1480,1069,2438,1950
Ontario,2017,1814,563,95,80,80,308,1251,152,294,406,399
Orange,2017,9159,2387,587,490,210,1100,6772,1694,1183,1880,2015
Orleans,2017,924,296,51,43,27,175,628,57,149,175,247
Oswego,2017,2447,710,84,163,52,411,1737,181,354,597,605
Otsego,2017,1024,286,45,64,26,151,738,89,180,225,244
Putnam,2017,1397,327,108,43,66,110,1070,299,411,103,257
Queens,2017,42740,15449,1814,4786,274,8575,27291,5247,1713,7856,12475
Rensselaer,2017,3279,1091,192,220,66,613,2188,347,406,641,794
Richmond,2017,8958,3223,636,800,80,1707,5735,1466,638,1473,2158
Rockland,2017,3467,984,124,256,82,522,2483,375,606,641,861
St. Lawrence,2017,2166,693,145,109,39,400,1473,272,273,429,499
Saratoga,2017,4060,1075,132,190,137,616,2985,453,891,748,893
Schenectady,2017,3694,1272,287,225,50,710,2422,221,256,915,1030
Schoharie,2017,448,110,11,26,15,58,338,29,55,93,161
Schuyler,2017,272,88,24,11,14,39,184,23,62,48,51
Seneca,2017,738,231,33,34,28,136,507,52,112,178,165
Steuben,2017,1833,644,148,121,58,317,1189,184,257,313,435
Suffolk,2017,20534,5009,895,866,510,2738,15525,4374,2767,3901,4483
Sullivan,2017,1920,520,76,102,64,278,1400,336,322,322,420
Tioga,2017,730,221,34,34,25,128,509,111,112,95,191
Tompkins,2017,1274,297,45,67,29,156,977,98,176,413,290
Ulster,2017,4256,1105,229,136,121,619,3151,667,721,727,1036
Warren,2017,1754,487,85,90,32,280,1267,185,259,436,387
Washington,2017,1205,363,44,53,48,218,842,153,199,161,329
Wayne,2017,1566,476,44,97,68,267,1090,115,224,288,463
Westchester,2017,12677,3739,604,950,228,1957,8938,1703,1544,2243,3448
Wyoming,2017,773,259,41,53,38,127,514,70,177,80,187
Yates,2017,293,87,20,9,9,49,206,31,59,34,82
Albany,2018,6864,2465,518,477,137,1333,4399,824,810,1432,1333
Allegany,2018,796,245,45,59,33,108,551,52,120,112,267
Bronx,2018,45488,15008,3074,5573,142,6219,30480,5939,954,7427,16160
Broome,2018,4918,1373,267,291,71,744,3545,778,423,1203,1141
Cattaraugus,2018,1648,548,173,85,58,232,1100,149,268,311,372
Cayuga,2018,1245,348,39,77,25,207,897,81,165,294,357
Chautauqua,2018,3380,1003,158,196,74,575,2377,484,416,660,817
Chemung,2018,1957,533,121,123,49,240,1424,296,229,465,434
Chenango,2018,853,255,62,50,25,118,598,77,122,178,221
Clinton,2018,1835,635,132,116,57,330,1200,145,319,340,396
Columbia,2018,1326,341,83,49,36,173,985,288,196,216,285
Cortland,2018,1209,347,60,58,19,210,862,182,154,277,249
Delaware,2018,851,249,59,33,23,134,602,96,112,139,255
Dutchess,2018,4375,1292,219,227,126,720,3083,610,864,669,940
Erie,2018,20173,6703,1226,1795,327,3355,13470,3058,1744,4082,4586
Essex,2018,677,191,24,30,28,109,486,95,165,80,146
Franklin,2018,1133,403,108,57,23,215,730,93,162,174,301
Fulton,2018,1181,366,73,63,32,198,815,123,168,214,310
Genesee,2018,1211,371,28,68,56,219,840,88,241,235,276
Greene,2018,1405,420,120,49,64,187,985,232,306,194,253
Hamilton,2018,53,18,3,4,1,10,35,5,5,9,16
Herkimer,2018,1014,238,19,48,34,137,776,105,199,204,268
Jefferson,2018,2138,600,140,108,55,297,1538,122,343,531,542
Kings,2018,54238,23195,3288,7140,212,12555,31043,6619,1280,9278,13866
Lewis,2018,332,96,21,18,7,50,236,12,71,56,97
Livingston,2018,1120,348,68,45,46,189,772,174,207,143,248
Madison,2018,1269,372,76,66,33,197,897,122,166,308,301
Monroe,2018,13543,4354,604,1005,405,2340,9189,777,1647,3464,3301
Montgomery,2018,1102,323,49,54,26,194,779,113,127,221,318
Nassau,2018,17032,4692,992,1036,298,2366,12340,5296,1818,2313,2913
New York,2018,50154,17114,2321,3984,102,10707,33040,5938,1222,13897,11983
Niagara,2018,4451,1421,186,323,85,827,3030,437,555,913,1125
Oneida,2018,4922,1202,184,232,81,705,3720,547,331,1502,1340
Onondaga,2018,10392,3369,538,793,185,1853,7023,1366,1136,2381,2140
Ontario,2018,1878,611,133,82,64,332,1267,181,287,406,393
Orange,2018,8729,2480,705,455,220,1100,6249,1488,1215,1810,1736
Orleans,2018,785,254,42,42,19,151,531,40,102,165,224
Oswego,2018,2774,725,79,117,65,464,2049,282,324,831,612
Otsego,2018,1052,297,70,57,26,144,755,96,159,228,272
Putnam,2018,1266,301,93,58,35,115,965,245,382,97,241
Queens,2018,39106,15402,1892,4853,245,8412,23704,2971,1474,7348,11911
Rensselaer,2018,3155,1115,177,231,76,631,2040,275,368,705,692
Richmond,2018,8357,3069,521,788,69,1691,5288,1185,618,1405,2080
Rockland,2018,3321,981,106,243,76,556,2340,372,550,639,779
St. Lawrence,2018,2111,642,144,129,39,330,1469,259,261,430,519
Saratoga,2018,3913,1040,179,163,128,570,2873,487,748,749,889
Schenectady,2018,3793,1282,231,236,53,762,2511,263,249,902,1097
Schoharie,2018,395,99,5,16,15,63,296,27,63,88,118
Schuyler,2018,309,97,21,15,22,39,212,30,75,46,61
Seneca,2018,666,220,40,28,39,113,446,44,88,133,181
Steuben,2018,1996,733,218,117,66,332,1263,228,287,314,434
Suffolk,2018,20003,4822,893,851,406,2672,15181,4403,2516,3938,4324
Sullivan,2018,1929,599,93,113,39,354,1330,386,252,355,337
Tioga,2018,684,207,47,31,25,104,477,110,97,88,182
Tompkins,2018,1198,308,48,72,30,158,890,129,157,352,252
Ulster,2018,3965,1102,219,148,129,606,2863,641,648,674,900
Warren,2018,1754,454,81,65,40,268,1300,224,291,405,380
