County,Year,Total,Felony Total,Drug Felony,Violent Felony,DWI Felony,Other Felony,Misdemeanor Total,Drug Misdemeanor,DWI Misdemeanor,Property Misdemeanor,Other Misdemeanor,Less_than_9th_grade,With_disability,Civilian_veterans,Limited_English,Total_housing_units,With_mortgage,Without_mortgage,Unemployment_rate,Median_household_income,Below_poverty_level,No_health_insurance
Cattaraugus,2019,1523,453,129,65,55,204,1070,163,282,237,388,52849,76342,59904,4.7,41596,48.6,51.4,5.5,48703,14.6,6.9
Cayuga,2019,1241,411,66,60,25,260,830,62,135,294,339,55436,73839,61985,4.6,37077,56,44,4.5,58377,10.6,5.1
Chautauqua,2019,3603,1081,207,209,60,605,2522,463,421,692,946,89517,126145,102142,7.9,67645,51,49,6.1,46820,15.5,5.4
Chemung,2019,2039,525,103,102,55,265,1514,358,207,502,447,59604,81599,66530,4.4,38870,56,44,5.6,54940,12.3,4.3
Chenango,2019,787,250,38,49,17,146,537,83,81,132,241,34344,47305,37936,3.5,25625,45.7,54.3,6,52002,12.6,4.3
Clinton,2019,1708,460,111,77,57,215,1248,116,274,465,393,55211,75998,66023,5.6,36576,53.8,46.2,4.4,56365,13.6,3.9
Columbia,2019,1263,340,85,63,34,158,923,329,206,140,248,45574,58739,49711,7.1,33486,54.9,45.1,4.9,66787,10.7,4.6
Cortland,2019,1071,299,33,67,33,166,772,125,179,202,266,30113,47408,38698,3.3,20737,56.1,43.9,5.3,56023,16,3.2
Delaware,2019,756,197,43,41,26,87,559,85,126,131,217,32787,44562,37309,6.6,31609,46.4,53.6,4.7,49544,13.6,5.1
Dutchess,2019,4267,1200,215,211,154,620,3067,596,900,697,874,205613,285513,237355,15.6,120789,64.7,35.3,5,81219,8.4,4.7
Erie,2019,19181,6358,1283,1604,330,3141,12823,2799,1811,3844,4369,645981,907930,731193,10.7,428362,61.2,38.8,4.3,58121,12.4,3.2
Essex,2019,646,159,21,19,25,94,487,67,164,88,168,28667,35066,31299,6.1,26296,50.1,49.9,5,56763,9.2,3.6
Franklin,2019,926,321,96,32,23,170,605,109,130,155,211,35065,45835,40407,8.4,25754,49.1,50.9,7,50407,15.3,5.1
Fulton,2019,1015,291,61,44,29,157,724,132,154,208,230,38601,52878,42686,2.9,29112,52,48,5.1,50482,13.3,4.8
Genesee,2019,1214,380,43,80,41,216,834,97,196,220,321,41334,57314,46044,3.7,25797,59.8,40.2,4.1,60524,9.6,3.5
Greene,2019,1214,342,81,45,49,167,872,208,317,129,218,35359,44501,39493,7.8,29678,53.4,46.6,3.9,53601,13.2,4.2
Hamilton,2019,52,9,0,1,2,6,43,1,18,7,17,3567,4493,3886,4.4,8948,42.5,57.5,3.6,58675,9.8,6.1
Herkimer,2019,959,274,17,55,41,161,685,77,188,170,250,43732,61428,49121,5.3,33831,49.4,50.6,5.9,54646,11.9,5
Jefferson,2019,1868,527,84,95,43,305,1341,115,290,471,465,71540,100713,75565,8.3,59969,57.6,42.4,6.2,52685,12.2,5.3
Kings,2019,46517,22136,2920,7195,196,11825,24381,2925,1118,7694,12644,1780247,2576511,1994578,45,1044493,61.1,38.9,6.2,60231,17.8,7.3
Lewis,2019,359,124,35,16,16,57,235,27,84,47,77,18360,26263,20314,2.9,15679,49.9,50.1,4.8,54524,11,5.5
Livingston,2019,1025,393,88,51,51,203,632,114,165,112,241,42678,61017,52177,6.9,27506,60.8,39.2,3.5,59510,12.6,3.2
Madison,2019,1097,305,35,59,35,176,792,99,149,248,296,47967,70712,57342,4.3,32278,59.2,40.8,4,61633,9.4,4.4
Monroe,2019,12605,4232,575,968,410,2279,8373,531,1603,3332,2907,512676,736134,587276,14,327880,65.9,34.1,5.5,60075,12.6,3.3
Montgomery,2019,1121,375,75,59,26,215,746,123,133,208,282,34199,48528,37970,14.8,23496,50.4,49.6,6.6,49462,15.8,6.3
Nassau,2019,15369,4611,811,1031,269,2500,10758,4074,1764,2236,2684,943013,1346804,1062204,28.7,472572,63.7,36.3,3.9,116100,5.2,4.4
New York,2019,42785,15342,1783,4098,69,9392,27443,4471,953,11170,10849,13631937,19333899,15440436,30.5,8322722,60.8,39.2,5.5,68486,12.6,5.8
New York,2019,42785,15342,1783,4098,69,9392,27443,4471,953,11170,10849,13631937,19333899,15440436,30.5,8322722,60.8,39.2,5.2,86553,15,5.2
New York,2019,42785,15342,1783,4098,69,9392,27443,4471,953,11170,10849,13631937,19333899,15440436,30.5,880085,49.2,50.8,5.5,68486,12.6,5.8
New York,2019,42785,15342,1783,4098,69,9392,27443,4471,953,11170,10849,13631937,19333899,15440436,30.5,880085,49.2,50.8,5.2,86553,15,5.2
New York,2019,42785,15342,1783,4098,69,9392,27443,4471,953,11170,10849,1249365,1621173,1396738,39.4,8322722,60.8,39.2,5.5,68486,12.6,5.8
New York,2019,42785,15342,1783,4098,69,9392,27443,4471,953,11170,10849,1249365,1621173,1396738,39.4,8322722,60.8,39.2,5.2,86553,15,5.2
New York,2019,42785,15342,1783,4098,69,9392,27443,4471,953,11170,10849,1249365,1621173,1396738,39.4,880085,49.2,50.8,5.5,68486,12.6,5.8
New York,2019,42785,15342,1783,4098,69,9392,27443,4471,953,11170,10849,1249365,1621173,1396738,39.4,880085,49.2,50.8,5.2,86553,15,5.2
Niagara,2019,4562,1435,191,360,82,802,3127,438,519,1015,1155,150726,208743,168027,4.3,100373,57.6,42.4,5,55522,11.8,3.3
Oneida,2019,4544,1096,154,217,78,647,3448,444,381,1400,1223,158944,222440,180639,12.2,105267,56.3,43.7,4.6,56027,13.2,4
Onondaga,2019,9574,3217,415,785,171,1846,6357,835,1064,2306,2152,315878,457795,363257,11,208376,62.9,37.1,5.3,61359,12.3,3.7
Ontario,2019,2079,731,150,117,76,388,1348,291,301,321,435,77172,108596,87127,6.1,50857,61.2,38.8,3.5,64944,8,3.3
Orange,2019,7835,2184,480,385,212,1107,5651,1125,1210,1708,1608,242775,371460,279365,24.6,143252,69,31,4.3,79944,9.4,4.8
Orleans,2019,748,262,51,39,23,149,486,72,96,132,186,29499,38200,32827,6.1,18584,58.8,41.2,5.4,52620,12.1,5.1
Oswego,2019,2494,619,64,103,42,410,1875,230,279,826,540,80093,117628,93044,4,54511,59.7,40.3,6.9,55967,14.2,4.6
Otsego,2019,1024,278,37,58,37,146,746,89,153,232,272,39939,59306,50245,6.2,31232,51,49,5.8,54028,14.3,4.8
Putnam,2019,1193,255,50,24,54,127,938,212,382,90,254,70564,98320,78919,18.3,38620,69.4,30.6,4.6,104486,5.2,3.7
Queens,2019,35356,14422,1533,4731,228,7930,20934,1581,1270,6684,11399,1645396,2272058,1824373,55.7,859529,57.3,42.7,5.6,68666,11.3,9.5
Rensselaer,2019,3254,1115,192,215,70,638,2139,298,351,760,730,111735,157380,127857,7.8,73011,64.7,35.3,4.7,68991,10.1,3.7
Richmond,2019,7403,3075,424,795,77,1779,4328,574,554,1253,1947,330661,470833,370347,32.6,180325,68.4,31.6,4.6,82783,10.6,4.3
Rockland,2019,3085,930,144,236,77,473,2155,320,482,600,753,203591,322460,233447,39.5,106296,66.7,33.3,5.5,93024,9.9,5.6
St. Lawrence,2019,1819,610,149,92,45,324,1209,192,301,347,369,71657,105260,86650,7.1,53194,50.5,49.5,7.4,50940,15.5,6
Saratoga,2019,3276,904,143,128,108,525,2372,410,651,632,679,163010,225586,180366,6.4,106029,65.8,34.2,3.5,84291,5.6,3.3
Schenectady,2019,3406,1199,242,267,57,633,2207,201,277,785,944,106675,153085,121197,9.7,69615,62.4,37.6,6.6,65499,9.9,4.2
Schoharie,2019,321,87,11,14,20,42,234,18,53,43,120,22309,31148,25675,4.7,17488,55.3,44.7,5.4,57714,11.1,3.8
Schuyler,2019,263,78,8,13,11,46,185,27,55,41,62,13229,17793,14466,3.3,9795,49.5,50.5,5.6,52327,13.9,5.5
Seneca,2019,630,239,36,22,32,149,391,41,68,130,152,24710,31683,27511,7.3,16361,54.8,45.2,3.6,54545,11.6,8.3
Steuben,2019,1928,703,221,96,69,317,1225,234,279,319,393,68086,95301,75496,5.1,49585,50.2,49.8,6.3,53663,12.1,5.5
Suffolk,2019,18783,4488,818,820,419,2431,14295,3463,2474,4059,4299,1030842,1471674,1164695,22.7,575960,66.7,33.3,4.2,101031,6.3,4.7
Sullivan,2019,1857,577,91,118,55,313,1280,337,243,337,363,53086,72998,59151,15.7,50715,52.3,47.7,7.5,57426,12.8,5.6
Tioga,2019,605,183,44,42,19,78,422,91,81,72,178,34696,48307,38402,2.5,22527,52.5,47.5,6.1,62999,9.5,4.2
Tompkins,2019,1108,267,30,50,30,157,841,91,144,363,243,59774,101802,87374,15,43471,59,41,3.8,60240,19.9,3.4
Ulster,2019,3428,975,155,159,115,546,2453,397,676,557,823,130190,174315,146609,11.1,85139,57.8,42.2,5.1,64304,13,5.4
Warren,2019,1375,357,79,59,48,171,1018,189,234,285,310,47833,63639,52399,5.1,39952,60.2,39.8,4,61024,9.1,3.9
Washington,2019,1099,329,50,52,33,194,770,183,146,126,315,44992,58570,49851,5.2,29487,54.9,45.1,4.8,57258,10.3,5.5
Wayne,2019,1242,377,50,77,41,209,865,55,179,293,338,63914,89743,71002,5.2,41756,62.1,37.9,5.1,59449,10.1,4.2
Westchester,2019,12961,4189,712,912,215,2350,8772,1555,1736,2078,3403,668290,956650,753680,33.5,374923,64.7,35.3,5.4,96610,8.4,5.8
Wyoming,2019,710,240,27,35,64,114,470,73,206,72,119,29033,37846,32281,4.1,18208,58.6,41.4,5.6,58052,9.7,4.2
Yates,2019,273,67,6,10,6,45,206,29,58,26,93,16673,24685,19433,15.2,13870,51.2,48.8,4.1,56563,10,17.6
Albany,2020,4341,1864,259,468,91,1046,2477,350,424,829,874,205082,302256,249413,86.2,142246,62.6,37.4,4.6,68327,11.3,3
Allegany,2020,596,221,20,87,20,94,375,34,97,84,160,29906,45818,37074,95.4,26376,45.6,54.4,5.2,51227,13.8,6.1
Bronx,2020,28006,11728,1611,5550,74,4493,16278,1935,377,3232,10734,930184,1405816,1071762,41.6,533434,58.3,41.7,10.1,41895,23.7,8
Broome,2020,4208,1333,219,362,43,709,2875,504,229,1238,904,127556,189334,154827,90.8,91155,53.8,46.2,7.6,52237,16.9,3.9
Cattaraugus,2020,1429,513,93,88,41,291,916,185,187,218,326,52725,75978,59662,95.8,41681,49.2,50.8,5.6,50700,14.7,6.3
Cayuga,2020,1157,387,29,87,21,250,770,53,104,249,364,55612,73371,61784,96.3,37131,54.8,45.2,4.8,57985,11,4.3
Chautauqua,2020,3367,1084,115,247,57,665,2283,315,341,750,877,89393,125326,101581,92,67656,51.7,48.3,5.5,48315,15.4,5.4
Chemung,2020,1948,531,89,122,37,283,1417,375,136,504,402,59312,80900,66099,95.5,38983,53.5,46.5,5.9,54883,12.8,4.5
Chenango,2020,806,226,26,48,10,142,580,103,69,157,251,34132,46940,37662,96.7,25818,46.3,53.7,6.5,51756,12.2,3.4
Clinton,2020,1413,407,81,58,37,231,1006,84,177,438,307,55208,75649,65821,94.1,36723,53.6,46.4,4.5,59510,11.6,3.4
Columbia,2020,925,318,93,63,36,126,607,149,172,89,197,45705,58364,49639,92.7,33622,54.4,45.6,5.7,68750,9.2,4.6
Cortland,2020,823,307,17,88,27,175,516,83,88,147,198,29953,47081,38538,95.7,20806,54.9,45.1,5.6,59194,13.5,3.4
Delaware,2020,629,195,34,29,20,112,434,70,107,80,177,32831,44245,37200,93.8,31624,43.8,56.2,4.3,49945,13.8,5.7
Dutchess,2020,3310,966,135,198,96,537,2344,222,642,772,708,206608,285062,237974,84.7,121161,63.1,36.9,5,81842,8.4,4.5
Erie,2020,11513,4308,529,1281,212,2286,7205,1162,1086,2290,2667,647994,907644,731690,89.2,429708,60,40,4.8,59464,12.2,3.1
Essex,2020,523,179,25,28,22,104,344,31,117,67,129,28740,34960,31279,93.8,26390,49.2,50.8,4.7,58109,9.4,3.5
Franklin,2020,899,295,90,47,17,141,604,96,92,184,232,35561,45876,40636,92,25835,48.2,51.8,7,52905,15.1,6.5
Fulton,2020,694,232,16,45,17,154,462,49,92,145,176,38599,52689,42628,97.5,29148,51.6,48.4,4,51663,13.1,3.9
Genesee,2020,835,287,29,61,35,162,548,55,132,129,232,41355,57049,45876,96.4,25826,59.7,40.3,4,60635,10.1,3.2
Greene,2020,1061,333,77,43,45,168,728,184,251,134,159,35517,44421,39505,92.5,29746,51.8,48.2,3.7,56681,10.9,3.7
Hamilton,2020,38,9,3,1,2,3,29,2,14,1,12,3485,4435,3851,97,8964,47.4,52.6,2.1,60625,8.9,6.9
Herkimer,2020,766,175,7,30,23,115,591,67,139,186,199,43732,61125,48969,94,33850,50.2,49.8,6.1,58438,11.8,4.4
Jefferson,2020,1984,606,108,101,39,358,1378,122,196,604,456,70896,98777,74593,91.5,60119,56.6,43.4,5.8,54726,12.4,4.8
Kings,2020,32200,16996,1546,7095,126,8229,15204,1558,605,4310,8731,1780524,2562576,1987711,55.5,1055660,60.7,39.3,6.5,63973,17.1,6.7
Lewis,2020,261,84,23,18,6,37,177,29,61,30,57,18375,26127,20245,97,15766,50.4,49.6,4.9,56192,11,4.6
Livingston,2020,806,262,30,48,35,149,544,39,162,119,224,42562,60803,51997,92.9,27601,59.8,40.2,4,60248,11.6,3.1
Madison,2020,1017,279,24,55,21,179,738,95,93,278,272,48061,70492,57330,95.6,32381,57.9,42.1,3.9,61176,8.2,4
Monroe,2020,9885,3775,473,1124,306,1872,6110,246,995,2488,2381,514795,735790,588234,86.2,329105,64.7,35.3,5.3,62087,12.2,3.2
Montgomery,2020,998,301,36,64,21,180,697,109,84,242,262,34193,48519,37943,86.2,23529,50.4,49.6,6,50146,14.5,5.7
Nassau,2020,10376,4023,494,1096,185,2248,6353,1363,1212,1439,2339,945100,1346127,1062724,71.2,473238,63.3,36.7,4.1,120036,5.2,4.1
New York,2020,27916,12137,1018,4093,31,6995,15779,2433,335,5655,7356,13649157,19276809,15420195,69.7,8362971,59.9,40.1,5.7,71117,12.2,5.4
New York,2020,27916,12137,1018,4093,31,6995,15779,2433,335,5655,7356,13649157,19276809,15420195,69.7,8362971,59.9,40.1,5.7,89812,14.8,4.7
New York,2020,27916,12137,1018,4093,31,6995,15779,2433,335,5655,7356,13649157,19276809,15420195,69.7,884828,49.9,50.1,5.7,71117,12.2,5.4
New York,2020,27916,12137,1018,4093,31,6995,15779,2433,335,5655,7356,13649157,19276809,15420195,69.7,884828,49.9,50.1,5.7,89812,14.8,4.7
New York,2020,27916,12137,1018,4093,31,6995,15779,2433,335,5655,7356,1250303,1618383,1395577,61.2,8362971,59.9,40.1,5.7,71117,12.2,5.4
New York,2020,27916,12137,1018,4093,31,6995,15779,2433,335,5655,7356,1250303,1618383,1395577,61.2,8362971,59.9,40.1,5.7,89812,14.8,4.7
New York,2020,27916,12137,1018,4093,31,6995,15779,2433,335,5655,7356,1250303,1618383,1395577,61.2,884828,49.9,50.1,5.7,71117,12.2,5.4
New York,2020,27916,12137,1018,4093,31,6995,15779,2433,335,5655,7356,1250303,1618383,1395577,61.2,884828,49.9,50.1,5.7,89812,14.8,4.7
Niagara,2020,3852,1228,104,350,69,705,2624,238,443,957,986,150950,208108,167812,95.2,100539,55.8,44.2,5.2,57252,11.4,3.1
Oneida,2020,3274,736,32,217,50,437,2538,172,304,1145,917,158727,221504,179906,87.2,105459,54.8,45.2,4.4,59113,12.4,3.8
Onondaga,2020,8011,3052,261,960,135,1696,4959,509,789,1886,1775,316302,456605,362780,89.1,209068,62.3,37.7,5.7,62668,11.8,3.5
Ontario,2020,1497,502,51,83,68,300,995,149,159,342,345,77782,108839,87627,94.1,51213,59.4,40.6,3.6,64795,8.4,3.3
Orange,2020,5772,1707,424,315,207,761,4065,670,1036,1250,1109,244598,373387,281064,75.1,144264,67.8,32.2,4.8,80816,9.6,4.8
Orleans,2020,473,172,18,35,18,101,301,19,43,100,139,29626,37972,32760,93.9,18576,57.4,42.6,6,52958,12.3,5
Oswego,2020,2183,622,57,142,42,381,1561,198,216,625,522,80077,116893,92662,96.3,54622,58.7,41.3,6.6,59070,14,4.2
Otsego,2020,714,240,13,67,17,143,474,67,86,117,204,40044,58850,49981,94,31300,51.2,48.8,5.7,56171,12.3,5.2
Putnam,2020,989,216,77,32,30,77,773,140,367,74,192,70813,98295,79123,80.2,38652,69.7,30.3,4.6,107246,5.6,4.1
Queens,2020,24862,11659,924,4607,132,5996,13203,981,752,3516,7954,1640266,2255744,1813076,44.8,864790,56.4,43.6,6,72028,10.9,8.9
Rensselaer,2020,2322,860,130,221,33,476,1462,140,194,613,515,112000,157175,127666,92.4,73251,62.8,37.3,5.1,72510,9.4,3.7
Richmond,2020,5343,2524,235,769,56,1464,2819,289,224,812,1494,332149,471599,371303,66.5,180883,66.6,33.4,4.9,85381,9.8,4.1
Rockland,2020,2225,805,107,241,53,404,1420,134,365,318,603,203609,323267,233121,58.6,106621,65.1,34.9,5.4,94840,10,4.7
St. Lawrence,2020,1595,572,144,91,27,310,1023,181,191,329,322,71681,104759,86567,92.6,53328,51.3,48.7,6.8,52071,15,5.8
Saratoga,2020,2923,988,150,167,100,571,1935,359,423,539,614,164817,226777,182200,93.2,107192,64.3,35.7,3.2,85224,5.9,2.8
Schenectady,2020,2715,845,63,214,34,534,1870,116,201,716,837,107534,153290,121385,91.3,69885,63.7,36.3,7,66488,10,3.8
Schoharie,2020,370,68,9,11,10,38,302,23,41,117,121,22383,31113,25663,94.5,17533,54.9,45.1,5.3,58926,11.1,4.2
Schuyler,2020,197,76,8,12,6,50,121,12,24,46,39,13219,17695,14387,96.7,9852,46.6,53.4,5.7,53291,13.1,4.3
Seneca,2020,545,187,23,18,31,115,358,42,76,100,140,24681,31560,27437,92.1,16409,55,45,3.8,54865,11.9,8.4
Steuben,2020,1679,624,169,104,56,295,1055,192,183,325,355,67942,94742,75143,94.5,49688,50.9,49.1,5.7,55349,10.9,5.4
Suffolk,2020,12387,3563,634,743,297,1889,8824,1898,1563,2449,2914,1033886,1470116,1166779,77.5,576804,64.5,35.5,4.5,105362,6.1,4.2
Sullivan,2020,1353,465,89,86,43,247,888,246,175,256,211,53315,73222,59291,84.2,50966,50,50,7.3,60433,11.9,5.7
Tioga,2020,403,133,11,29,7,86,270,38,29,84,119,34722,48048,38323,97.3,22571,50.2,49.8,5.7,61965,9.4,3.1
Tompkins,2020,825,209,21,47,13,128,616,58,84,265,209,60001,101394,87168,84.6,44019,59,41,4.1,61361,18.4,3.6
Ulster,2020,2888,938,200,149,123,466,1950,342,500,513,595,130502,174060,146747,89.3,85372,57.8,42.2,5.4,65306,13.1,5.4
Warren,2020,1290,383,87,55,24,217,907,228,158,262,259,48041,63470,52435,95.9,40119,61.2,38.8,4.1,64658,8.2,4.2
Washington,2020,956,273,46,37,22,168,683,161,135,108,279,44788,58257,49723,95,29562,55.8,44.2,5.6,59613,10.3,4.9
Wayne,2020,1282,455,37,86,56,276,827,60,148,287,332,63950,89334,70762,94.7,41792,61.8,38.2,3.7,62003,10,4.9
Westchester,2020,9670,3137,475,878,151,1633,6533,852,1067,1877,2737,670717,956450,755743,66.3,376315,63.6,36.4,5.7,99489,8,5.5
Wyoming,2020,683,225,28,42,37,118,458,78,187,78,115,29401,37690,32406,96.5,18297,55.5,44.5,4.7,58746,8.2,4.1
Yates,2020,216,64,7,15,13,29,152,18,34,30,70,16635,24661,19331,86.3,13919,50.5,49.5,3.8,55307,10.6,16.7
Albany,2021,4932,2069,267,537,85,1180,2863,250,491,981,1141,211245,310934,256417,86.3,145388,62.7,37.3,4.9,73810,11,3
Allegany,2021,719,238,27,62,19,130,481,52,88,119,222,30019,46170,37119,95.3,23797,43.3,56.7,6.7,54375,13.6,6.1
